IP Origen,IP Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Equipo Local,SSID
10.20.53.78,3.227.113.226,61930,443,TCP,55,21:31:02,DESKTOP-G6APLIR,N/A
10.20.53.78,98.95.185.24,57223,443,TCP,93,21:31:02,DESKTOP-G6APLIR,N/A
3.227.113.226,10.20.53.78,443,61930,TCP,66,21:31:02,DESKTOP-G6APLIR,N/A
98.95.185.24,10.20.53.78,443,57223,TCP,93,21:31:02,DESKTOP-G6APLIR,N/A
10.20.53.78,98.95.185.24,57223,443,TCP,54,21:31:02,DESKTOP-G6APLIR,N/A
10.20.53.78,3.227.113.226,61930,443,TCP,55,21:31:03,DESKTOP-G6APLIR,N/A
3.227.113.226,10.20.53.78,443,61930,TCP,66,21:31:03,DESKTOP-G6APLIR,N/A
10.20.53.78,104.18.18.125,60022,443,TCP,643,21:31:03,DESKTOP-G6APLIR,N/A
10.20.53.78,104.18.18.125,60022,443,TCP,85,21:31:03,DESKTOP-G6APLIR,N/A
104.18.18.125,10.20.53.78,443,60022,TCP,54,21:31:03,DESKTOP-G6APLIR,N/A
104.18.18.125,10.20.53.78,443,60022,TCP,135,21:31:03,DESKTOP-G6APLIR,N/A
10.20.53.78,104.18.18.125,60022,443,TCP,54,21:31:04,DESKTOP-G6APLIR,N/A
10.20.53.78,3.227.113.226,61930,443,TCP,55,21:31:04,DESKTOP-G6APLIR,N/A
3.227.113.226,10.20.53.78,443,61930,TCP,66,21:31:04,DESKTOP-G6APLIR,N/A
10.20.53.78,104.18.18.125,60022,443,TCP,778,21:31:05,DESKTOP-G6APLIR,N/A
10.20.53.78,104.18.18.125,60022,443,TCP,85,21:31:05,DESKTOP-G6APLIR,N/A
10.20.53.78,104.18.19.125,53025,443,TCP,93,21:31:05,DESKTOP-G6APLIR,N/A
104.18.18.125,10.20.53.78,443,60022,TCP,89,21:31:05,DESKTOP-G6APLIR,N/A
104.18.18.125,10.20.53.78,443,60022,TCP,89,21:31:05,DESKTOP-G6APLIR,N/A
