IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Dispositivo Local,Sitio/App Destino,Hostname Remoto,SSID
34.229.67.192,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,53160,TCP,54,2026-03-04 21:13:04,10.20.53.78,,,N/A
10.20.53.78,34.229.67.192,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,53160,443,TCP,54,2026-03-04 21:13:04,10.20.53.78,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,62673,443,TCP,55,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61518,53,UDP,86,2026-03-04 21:13:05,DESKTOP-G6APLIR,125.18.18.104.in-addr.arpa,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,61518,UDP,86,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61518,53,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,33.53.20.10.in-addr.arpa,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,61518,UDP,84,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,18.211.220.239,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,63728,443,TCP,55,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
104.18.18.125,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,62673,TCP,66,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
18.211.220.239,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,63728,TCP,66,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,mdns.mcast.net,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.252,d4:d8:53:5d:25:cd,01:00:5e:00:00:fc,55021,5355,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,mdns.mcast.net,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,137,137,UDP,124,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61518,53,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,252.0.0.224.in-addr.arpa,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,mdns.mcast.net,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,61518,UDP,84,2026-03-04 21:13:05,10.20.53.33,,,N/A
