IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Nombre de Dispositivos,Sitio/App Destino,Hostname Remoto,SSID
172.16.76.180,187.244.38.17,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,52234,80,TCP,54,2026-03-06 17:45:52,Equipo-76.180,HTTP,N/A,Estudiantes
172.16.76.180,52.20.34.251,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,51226,443,TCP,1411,2026-03-06 17:45:52,Equipo-76.180,HTTPS,N/A,Estudiantes
172.16.76.180,52.20.34.251,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,51226,443,TCP,85,2026-03-06 17:45:52,Equipo-76.180,HTTPS,N/A,Estudiantes
172.16.80.131,224.0.0.251,d2:6e:32:8c:97:0a,01:00:5e:00:00:fb,5353,5353,UDP,122,2026-03-06 17:45:53,Equipo-80.131,mDNS,N/A,Estudiantes
52.20.34.251,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,51226,TCP,60,2026-03-06 17:45:53,Equipo-76.180,Puerto 51226,Red-Local,Estudiantes
52.20.34.251,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,51226,TCP,60,2026-03-06 17:45:53,Equipo-76.180,Puerto 51226,Red-Local,Estudiantes
172.16.81.217,239.255.255.250,98:3b:8f:01:6d:c3,d4:d8:53:5d:25:cd,54866,1900,UDP,217,2026-03-06 17:45:53,Equipo-81.217,UPnP/SSDP,N/A,Estudiantes
52.20.34.251,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,51226,TCP,93,2026-03-06 17:45:53,Equipo-76.180,Puerto 51226,Red-Local,Estudiantes
52.20.34.251,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,51226,TCP,89,2026-03-06 17:45:53,Equipo-76.180,Puerto 51226,Red-Local,Estudiantes
172.16.76.180,52.20.34.251,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,51226,443,TCP,54,2026-03-06 17:45:53,Equipo-76.180,HTTPS,N/A,Estudiantes
172.16.76.180,52.20.34.251,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,51226,443,TCP,93,2026-03-06 17:45:53,Equipo-76.180,HTTPS,N/A,Estudiantes
